date,time,close,atm_strike,month
13-12-2024,12:00:00,24575.4,24600,December
13-12-2024,12:15:00,24565.0,24550,December
13-12-2024,12:30:00,24573.25,24550,December
13-12-2024,12:45:00,24508.85,24500,December
13-12-2024,13:00:00,24670.35,24650,December
13-12-2024,13:15:00,24645.95,24650,December
13-12-2024,13:30:00,24662.0,24650,December
13-12-2024,13:45:00,24731.6,24750,December
13-12-2024,14:00:00,24740.0,24750,December
13-12-2024,14:15:00,24734.5,24750,December
13-12-2024,14:30:00,24758.3,24750,December
13-12-2024,14:45:00,24726.45,24750,December
16-12-2024,09:45:00,24751.35,24750,December
16-12-2024,10:00:00,24729.6,24750,December
16-12-2024,10:15:00,24704.5,24700,December
16-12-2024,10:30:00,24661.7,24650,December
16-12-2024,10:45:00,24678.2,24700,December
16-12-2024,11:00:00,24662.15,24650,December
16-12-2024,11:15:00,24625.7,24650,December
16-12-2024,11:30:00,24632.8,24650,December
16-12-2024,11:45:00,24648.75,24650,December
16-12-2024,12:00:00,24626.15,24650,December
16-12-2024,12:15:00,24611.5,24600,December
16-12-2024,12:30:00,24607.65,24600,December
16-12-2024,12:45:00,24651.2,24650,December
16-12-2024,13:00:00,24649.8,24650,December
16-12-2024,13:15:00,24664.5,24650,December
16-12-2024,13:30:00,24643.6,24650,December
16-12-2024,13:45:00,24655.65,24650,December
16-12-2024,14:00:00,24664.3,24650,December
16-12-2024,14:15:00,24662.0,24650,December
